iter	Passed	Remaining
0	0	80
1	1	74
2	2	72
3	2	71
4	3	71
5	4	71
6	5	72
7	6	70
8	6	69
9	7	69
10	8	67
11	8	65
12	9	64
13	10	63
14	10	62
15	11	60
16	12	59
17	12	58
18	13	57
19	14	56
20	14	56
21	15	55
22	16	54
23	16	53
24	17	53
25	18	52
26	19	53
27	20	53
28	21	53
29	22	52
30	23	51
31	24	51
32	25	51
33	26	50
34	26	49
35	27	48
36	28	48
37	29	47
38	29	46
39	30	45
40	31	44
41	31	43
42	32	42
43	33	42
44	34	42
45	35	41
46	35	40
47	36	39
48	37	38
49	37	37
50	38	36
51	39	36
52	39	35
53	40	34
54	40	33
55	41	32
56	42	31
57	42	30
58	43	30
59	44	29
60	44	28
61	45	27
62	46	27
63	47	26
64	47	25
65	48	25
66	49	24
67	50	23
68	51	23
69	52	22
70	52	21
71	53	20
72	54	19
73	54	19
74	55	18
75	56	17
76	56	16
77	57	16
78	58	15
79	58	14
80	59	13
81	60	13
82	61	12
83	62	11
84	63	11
85	63	10
86	64	9
87	65	8
88	66	8
89	66	7
90	67	6
91	68	5
92	68	5
93	69	4
94	70	3
95	70	2
96	71	2
97	72	1
98	72	0
99	73	0
