iter	Passed	Remaining
0	0	951
1	1	863
2	2	828
3	3	827
4	4	855
5	6	1088
6	7	1127
7	8	1077
8	9	1034
9	10	1008
10	10	987
11	11	974
12	12	962
13	13	947
14	14	929
15	14	916
16	15	903
17	16	891
18	17	879
19	17	875
20	18	884
21	19	887
22	21	895
23	22	898
24	23	920
25	24	936
26	26	943
27	27	938
28	27	930
29	28	920
30	29	911
31	29	903
32	30	898
33	31	891
34	32	885
35	32	881
36	33	879
37	35	906
38	36	902
39	37	896
40	38	891
41	38	889
42	40	909
43	41	903
44	42	897
45	42	891
46	43	886
47	44	880
48	45	876
49	46	874
50	46	869
51	47	864
52	48	870
53	50	883
54	51	884
55	52	880
56	53	877
57	53	876
58	54	872
59	55	868
60	56	864
61	57	864
62	57	861
63	58	858
64	59	856
65	60	860
66	61	861
67	62	863
68	63	860
69	64	860
70	65	860
71	69	891
72	71	909
73	72	910
74	74	916
75	75	914
76	75	909
77	76	908
78	78	917
79	79	915
80	81	923
81	82	922
82	82	916
83	83	914
84	84	913
85	85	911
86	86	909
87	87	907
88	88	904
89	89	900
90	89	897
91	90	893
92	91	891
93	93	899
94	94	899
95	96	909
96	100	934
97	103	948
98	103	945
99	104	942
100	105	939
101	106	935
102	107	940
103	109	940
104	113	967
105	115	978
106	117	983
107	118	982
108	119	978
109	120	974
110	121	975
111	123	981
112	125	988
113	127	992
114	128	992
115	131	1000
116	133	1003
117	134	1001
118	135	999
119	136	999
120	138	1003
121	139	1003
122	141	1007
123	142	1006
124	146	1022
125	147	1021
126	148	1017
127	148	1014
128	149	1010
129	150	1009
130	151	1007
131	153	1007
132	154	1009
133	155	1007
134	158	1013
135	160	1018
136	161	1015
137	161	1010
138	162	1006
139	163	1003
140	163	999
141	164	993
142	165	992
143	166	992
144	168	990
145	169	992
146	172	1001
147	174	1004
148	175	1000
149	175	996
150	176	992
151	177	988
152	177	984
153	178	979
154	179	977
155	180	973
156	181	973
157	182	971
158	183	971
159	184	968
160	185	964
161	186	962
162	187	962
163	188	959
164	188	956
165	189	952
166	190	949
167	190	945
168	191	941
169	192	938
170	192	934
171	193	931
172	194	928
173	195	927
174	196	924
175	196	921
176	197	919
177	198	917
178	199	916
179	200	915
180	201	912
181	202	909
182	203	906
183	203	903
184	204	900
185	205	897
186	205	895
187	206	892
188	207	889
189	207	886
190	208	883
191	209	881
192	210	880
193	211	878
194	212	876
195	212	873
196	213	870
197	214	867
198	214	865
199	215	863
200	216	860
201	217	857
202	217	855
203	218	852
204	219	849
205	219	847
206	220	845
207	221	842
208	222	841
209	223	840
210	224	838
211	225	836
212	225	834
213	226	831
214	227	829
215	228	828
216	229	828
217	230	826
218	231	824
219	231	822
220	232	819
221	233	818
222	234	816
223	234	813
224	235	811
225	236	808
226	236	806
227	237	803
228	237	801
229	238	799
230	239	797
231	240	796
232	241	795
233	242	793
234	243	791
235	243	789
236	244	787
237	245	785
238	245	782
239	246	780
240	247	778
241	247	775
242	248	773
243	248	771
244	249	769
245	250	766
246	251	765
247	251	763
248	252	761
249	253	759
250	254	758
251	254	756
252	255	754
253	256	752
254	257	752
255	259	753
256	260	753
257	261	751
258	261	749
259	262	747
260	263	745
261	263	743
262	264	741
263	265	739
264	265	737
265	266	735
266	267	733
267	267	731
268	269	731
269	270	730
270	271	730
271	272	728
272	272	726
273	273	725
274	274	724
275	275	722
276	276	721
277	277	719
278	278	718
279	278	717
280	279	715
281	280	713
282	281	712
283	281	710
284	282	708
285	283	708
286	285	708
287	286	707
288	287	707
289	288	706
290	289	706
291	290	705
292	291	703
293	292	701
294	293	700
295	293	698
296	294	696
297	294	694
298	295	693
299	296	691
300	296	689
301	297	687
302	298	686
303	299	686
304	300	685
305	301	683
306	302	682
307	303	681
308	304	679
309	304	677
310	305	676
311	305	674
312	306	672
313	307	670
314	307	669
315	308	667
316	309	665
317	309	664
318	310	662
319	311	660
320	311	659
321	312	657
322	313	656
323	314	655
324	314	654
325	315	652
326	316	652
327	318	652
328	319	651
329	320	650
330	321	649
331	322	649
332	323	647
333	323	646
334	324	644
335	325	642
336	325	641
337	326	639
338	327	637
339	328	637
340	328	635
341	329	634
342	330	633
343	331	632
344	332	630
345	332	629
346	333	627
347	334	626
348	334	624
349	335	623
350	336	621
351	336	620
352	337	618
353	338	617
354	338	615
355	339	614
356	340	612
357	340	611
358	341	609
359	342	608
360	343	607
361	344	606
362	345	606
363	346	605
364	347	603
365	347	602
366	348	600
367	349	599
368	349	598
369	350	596
370	351	595
371	351	593
372	352	592
373	353	591
374	353	589
375	354	588
376	354	586
377	355	585
378	356	583
379	356	582
380	358	582
381	359	581
382	360	580
383	361	579
384	362	578
385	363	577
386	363	576
387	364	575
388	365	573
389	365	572
390	366	570
391	367	569
392	367	568
393	368	566
394	369	565
395	369	563
396	370	562
397	370	561
398	371	559
399	372	558
400	373	558
401	374	557
402	375	556
403	376	555
404	377	553
405	377	552
406	378	551
407	379	550
408	379	548
409	380	547
410	381	546
411	381	544
412	382	543
413	383	542
414	383	540
415	384	539
416	385	538
417	385	537
418	386	535
419	387	534
420	388	533
421	388	532
422	389	531
423	390	530
424	391	530
425	393	530
426	394	529
427	395	528
428	395	527
429	396	525
430	397	524
431	397	522
432	398	521
433	398	520
434	399	519
435	400	517
436	401	516
437	402	516
438	403	515
439	404	514
440	405	513
441	406	512
442	406	511
443	407	510
444	407	508
445	408	507
446	409	506
447	409	505
448	410	503
449	411	502
450	411	501
451	412	500
452	413	498
453	413	497
454	414	496
455	415	495
456	415	494
457	416	492
458	417	492
459	418	490
460	418	489
461	419	488
462	420	487
463	421	486
464	422	486
465	423	484
466	423	483
467	424	482
468	425	481
469	425	479
470	426	478
471	426	477
472	427	476
473	428	475
474	429	474
475	429	473
476	430	471
477	431	470
478	432	470
479	433	469
480	434	468
481	434	467
482	435	466
483	436	464
484	436	463
485	437	462
486	438	461
487	438	460
488	439	459
489	440	458
490	440	456
491	441	455
492	442	454
493	442	453
494	443	452
495	443	451
496	444	449
497	445	448
498	445	447
499	447	447
500	447	445
501	448	444
